ID,insect-family,insect-taxon,plant-family,plant-taxon,plant-organ,1st,2nd,3rd
053-mdpi-8791fc1b-8848-4252-a995-4f976c168580.pdf,Miridae,Apolygus lucorum,Moraceae,Humulus scandens,flowers,0.9,0.8,1
053-mdpi-8791fc1b-8848-4252-a995-4f976c168580.pdf,Miridae,Apolygus lucorum,Asteraceae,Artemisia lavandulaefolia,flowers,0.9,0.8,1
053-mdpi-8791fc1b-8848-4252-a995-4f976c168580.pdf,Miridae,Apolygus lucorum,Asteraceae,Conyza canadensis,flowers,0.9,0.9,1
053-mdpi-8791fc1b-8848-4252-a995-4f976c168580.pdf,Miridae,Apolygus lucorum,Asteraceae,Artemisia annua,flowers,0.9,0.7,0.833333333
053-mdpi-8791fc1b-8848-4252-a995-4f976c168580.pdf,Miridae,Apolygus lucorum,Theaceae,Camellia sinensis,"buds, shoots, flowers",0.9,0.9,0.8
044-wiley-8ed6cbc8-6450-47d8-a944-9607e91a966b.pdf,Noctuidae,Spodoptera frugiperda,Poaceae,Zea mays,whole plant,1,1,0.75
044-wiley-8ed6cbc8-6450-47d8-a944-9607e91a966b.pdf,Noctuidae,Spodoptera frugiperda,Poaceae,Sorghum bicolor,whole plant,1,0.9,1
044-wiley-8ed6cbc8-6450-47d8-a944-9607e91a966b.pdf,Noctuidae,Spodoptera frugiperda,Poaceae,Triticum aestivum,whole plant,0.9,1,1
044-wiley-8ed6cbc8-6450-47d8-a944-9607e91a966b.pdf,Noctuidae,Spodoptera frugiperda,Fabaceae,Phaseolus vulgaris,whole plant,0.9,1,0.75
044-wiley-8ed6cbc8-6450-47d8-a944-9607e91a966b.pdf,Noctuidae,Spodoptera frugiperda,Fabaceae,Vigna unguiculata,whole plant,0.9,0.9,0.75
044-wiley-8ed6cbc8-6450-47d8-a944-9607e91a966b.pdf,Noctuidae,Spodoptera frugiperda,Solanaceae,Solanum lycopersicum,whole plant,0.9,1,0.75
044-wiley-8ed6cbc8-6450-47d8-a944-9607e91a966b.pdf,Noctuidae,Spodoptera frugiperda,Brassicaceae,Brassica oleracea,whole plant,0.9,0.9,0.666666667
067-wiley-b07acb4b-a7f8-4f2b-b740-c0232b1a88f1.pdf,Curculionidae,Cosmopolites sordidus,Musaceae,Musa L.,corm,1,1,1
067-wiley-b07acb4b-a7f8-4f2b-b740-c0232b1a88f1.pdf,Curculionidae,Cosmopolites sordidus,Musaceae,Musa spp.,corm,1,0.9,1
067-wiley-b07acb4b-a7f8-4f2b-b740-c0232b1a88f1.pdf,Curculionidae,Cosmopolites sordidus,Musaceae,Musa spp.,pseudostem,1,0.8,1
067-wiley-b07acb4b-a7f8-4f2b-b740-c0232b1a88f1.pdf,Curculionidae,Cosmopolites sordidus,Musaceae,Musa spp.,corm central cylinder and cortex,1,0.9,0.8
067-wiley-b07acb4b-a7f8-4f2b-b740-c0232b1a88f1.pdf,Curculionidae,Cosmopolites sordidus,Musaceae,Musa spp.,corm,1,1,1
067-wiley-b07acb4b-a7f8-4f2b-b740-c0232b1a88f1.pdf,Curculionidae,Cosmopolites sordidus,Musaceae,Musa spp.,corm and pseudostem,1,0.9,0.75
048-springer-33317457-4ffb-437a-bb3a-505c2639dddb.pdf,Dactylopiidae,Dactylopius opuntiae,Cactaceae,Opuntia ficus-indica,Not Provided,1,0.9,1
049-springer-88824653-b43e-4008-9bf7-6248fbb2250f.pdf,Chrysomelidae,Callosobruchus chinensis,Fabaceae,Lens culinaris,Not Provided,1,1,1
069-wiley-463f74ef-2da8-42e4-9d76-6015d30105ab.pdf,Tortricidae,Cydia pomonella L.,Rosaceae,Cydonia oblonga,fruits,0.9,0.7,1
069-wiley-463f74ef-2da8-42e4-9d76-6015d30105ab.pdf,Tortricidae,Cydia pomonella L.,Rosaceae,Malus domestica,fruits,0.9,0.8,1
069-wiley-463f74ef-2da8-42e4-9d76-6015d30105ab.pdf,Tortricidae,Cydia pomonella L.,Rosaceae,Pyrus communis,fruits,0.9,1,1
042-wiley-15473b69-04d9-45e7-b6d3-549768458499.pdf,Aphididae,"Cryptomyzus galeopsidis, Cryptomyzus maudamanti, Cryptomyzus ribis","Ribes (red currant, black currant), Labiatae","Ribes rubrum, Ribes nigrum",Not Provided,0.9,0.9,0.818181818
